position_id,timestamp,item_type,symbol,shares,avg_price,cost_basis,ratio
24,2025-10-27,SUMMARY,CASH_BALANCE,--,--,1378159.83,137.82%
24,2025-10-27,POSITION,300308,300,440.88,132264.0,13.23%
24,2025-10-27,POSITION,300502,300,403.95,121185.0,12.12%
=$
$+
25,2025-10-31,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
25,2025-10-31,SUMMARY,CASH_BALANCE,--,--,1481370.2,148.14%
25,2025-10-31,POSITION,300308,300,440.88,132264.0,13.23%
=$
$+
26,2025-11-26,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
26,2025-11-26,SUMMARY,CASH_BALANCE,--,--,1318355.31,131.84%
26,2025-11-26,POSITION,300308,600,492.05,295230.0,29.52%
=$
$+
27,2026-01-09,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
27,2026-01-09,SUMMARY,CASH_BALANCE,--,--,1376628.65,137.66%
27,2026-01-09,POSITION,300308,500,492.05,246025.0,24.60%
=$
$+
28,2026-01-13,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
28,2026-01-13,SUMMARY,CASH_BALANCE,--,--,1200847.93,120.08%
28,2026-01-13,POSITION,300308,800,527.191,421753.0,42.18%
=$
$+
29,2026-01-27,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
29,2026-01-27,SUMMARY,CASH_BALANCE,--,--,1016112.53,101.61%
29,2026-01-27,POSITION,300308,1100,551.303,606433.0,60.64%
=$
$+
30,2026-02-02,SUMMARY,INITIAL_FUNDS,--,--,1000000.0,100.00%
30,2026-02-02,SUMMARY,CASH_BALANCE,--,--,1665692.45,166.57%
30,2026-02-02,POSITION,EMPTY,0,0.0,0.0,0.00%
=$
